vendor_key,incumbent_vendor,incumbent_uei,number_of_cyber_it_awards,total_obligated_amount,expiring_value_6_months,expiring_value_12_months,expiring_value_24_months,average_contract_value,recompete_candidate_count,incumbent_concentration_score,incumbent_vulnerability_score,vulnerability_basis,pct_value_expired,pct_value_unknown_expiration,size_standard_shift,size_standard_basis,active_recompete_candidate_count,active_value
40,"ADVANCED COMPUTER CONCEPTS, INC",CGE8ABMZLZN9,556,788284706.89,6222659.46,6222659.46,8362760.59,1417778.25,556,0.34,19.9,value_weighted_near_term_share,62.0,0.0,False,"no S->O transition across 2576 readable determinations — per-procurement, directional",13,31251109.79
41,"COUNTERTRADE PRODUCTS, INC",CN4KSKX2UQY5,175,780946643.92,2264672.6,5070105.4399999995,5070105.4399999995,4462552.25,175,0.34,44.7,value_weighted_near_term_share,93.2,0.0,False,"no S->O transition across 831 readable determinations — per-procurement, directional",2,5070105.4399999995
42,TEKSYNAP CORPORATION,C2T2JWN1D2K4,108,724470018.9699999,0.0,3066318.5799999996,24752110.34,6708055.73,108,0.31,0.0,value_weighted_near_term_share,72.0,0.0,True,"latest of 3 NAICS 541330 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 1 total), with 2 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",6,28367440.42
43,HPI FEDERAL LLC,DJRUN4KK1HK3,327,723416400.06,7458019.67,7458019.67,7458019.67,2212282.57,327,0.31,100.0,value_weighted_near_term_share,92.4,0.0,False,"no S->O transition across 4218 readable determinations — per-procurement, directional",5,7458019.67
45,HEWLETT PACKARD ENTERPRISE COMPANY,EFAJMASTF3J7,31,711453112.3399998,0.0,0.0,0.0,22950100.4,31,0.31,,no_forward_book,100.0,0.0,False,"no S->O transition across 39 readable determinations — per-procurement, directional",0,0.0
46,"EMPOWER AI, INC",HC6QJAM2F4E3,53,678341101.24,0.0,0.0,0.0,12798888.7,53,0.29,,no_forward_book,100.0,0.0,True,"latest of 16 NAICS 541519 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 10 total), with 6 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",0,0.0
47,"AFFIGENT, LLC",M46UYYHVH4B1,121,672170883.26,0.0,389480.04,389480.04,5555131.27,121,0.29,0.0,value_weighted_near_term_share,96.3,0.0,False,"no S->O transition across 322 readable determinations — per-procurement, directional",3,6215273.78
48,SIEMENS GOVERNMENT TECHNOLOGIES INC,R2VGJTEMCNL5,144,664581699.56,21680390.590000004,21680390.590000004,21680390.590000004,4615150.69,144,0.29,86.6,value_weighted_near_term_share,75.9,0.0,False,"no S->O transition across 224 readable determinations — per-procurement, directional",4,25029063.310000002
49,CARAHSOFT TECHNOLOGY CORP,DT8KJHZXVJH5,162,663712910.3299999,0.0,0.0,1449510.08,4096993.27,162,0.29,0.0,value_weighted_near_term_share,91.0,0.0,True,"latest of 364 NAICS 541519 determinations is 'OTHER THAN SMALL BUSINESS' (code O, 363 total), with 1 earlier 'SMALL BUSINESS' (code S) determination(s) — per-procurement, directional",2,2550315.0700000003
50,GENERAL DYNAMICS INFORMATION TECHNOLOGY INC,Z2L7LVNEAPC3,128,653510017.24,0.0,0.0,0.0,5105547.01,128,0.28,,no_forward_book,100.0,0.0,False,"no S->O transition across 300 readable determinations — per-procurement, directional",0,0.0
